N,P,K,temperature,humidity,ph,rainfall,label
32,35,20,31.54,49.3,4.72,37.1,mothbeans
16,60,23,27.49,55.54,4.29,61.99,mothbeans
11,35,20,31.83,45.91,4.54,57.38,mothbeans
40,59,19,26.17,54.18,5.67,50.09,mothbeans
37,57,21,30.41,54.18,5.25,49.29,mothbeans
17,36,19,25.42,60.13,4.76,67.4,mothbeans
35,51,22,28.77,62.0,7.86,39.17,mothbeans
27,51,24,28.42,41.14,3.99,38.59,mothbeans
33,50,24,26.61,59.08,4.84,66.54,mothbeans
37,47,16,30.91,53.53,4.6,63.95,mothbeans
22,53,21,28.91,48.6,6.54,69.49,mothbeans
22,49,23,26.01,40.29,6.47,61.47,mothbeans
30,60,22,30.0,51.51,6.54,37.35,mothbeans
31,35,16,27.53,46.12,7.42,72.67,mothbeans
29,42,20,28.75,48.42,7.21,46.78,mothbeans
33,37,21,30.37,55.33,5.42,57.3,mothbeans
38,44,19,28.74,41.01,7.29,44.01,mothbeans
34,46,19,28.38,56.16,4.26,56.21,mothbeans
23,48,18,29.83,48.16,6.1,68.62,mothbeans
37,54,18,31.81,48.76,5.6,47.2,mothbeans
36,43,21,29.36,56.9,5.1,47.51,mothbeans
28,40,20,26.59,52.03,4.79,44.58,mothbeans
25,47,16,25.85,64.42,4.91,57.02,mothbeans
25,54,18,27.09,48.1,7.49,58.68,mothbeans
31,56,25,25.4,41.8,9.7,65.68,mothbeans
12,48,24,26.22,41.57,9.97,70.44,mothbeans
10,49,25,31.1,58.95,7.82,64.13,mothbeans
31,36,17,24.04,42.82,8.53,34.74,mothbeans
38,52,22,30.0,64.55,3.6,36.94,mothbeans
36,51,22,28.69,40.84,9.03,49.85,mothbeans
40,37,20,27.76,57.43,8.43,37.58,mothbeans
34,51,19,30.16,63.43,8.38,63.48,mothbeans
31,40,24,24.43,54.58,8.96,59.97,mothbeans
34,51,17,30.54,61.85,7.73,51.83,mothbeans
24,52,22,31.88,47.85,6.49,73.71,mothbeans
25,38,24,27.78,50.84,8.3,43.95,mothbeans
12,59,16,31.18,49.81,3.52,74.97,mothbeans
33,59,21,24.17,50.12,8.31,52.58,mothbeans
28,40,18,25.44,55.76,5.01,40.04,mothbeans
33,41,25,26.04,61.37,3.63,64.24,mothbeans
30,50,18,25.03,61.3,4.02,74.7,mothbeans
19,46,23,26.54,50.61,9.2,68.33,mothbeans
30,49,19,24.24,44.74,5.54,35.73,mothbeans
15,52,22,28.65,57.24,7.95,57.67,mothbeans
11,35,21,28.92,56.48,8.84,35.05,mothbeans
24,45,17,24.81,57.8,5.67,47.09,mothbeans
33,54,19,25.86,60.29,4.21,50.93,mothbeans
38,39,18,31.96,57.6,3.64,33.67,mothbeans
39,41,19,26.78,41.23,7.9,34.37,mothbeans
24,40,24,28.59,51.33,7.81,39.32,mothbeans
24,60,24,28.91,53.2,5.75,62.84,mothbeans
18,38,16,28.66,48.56,6.69,37.45,mothbeans
28,58,17,27.0,59.13,6.73,56.02,mothbeans
23,39,21,24.01,59.2,8.6,30.05,mothbeans
27,58,22,31.48,61.74,7.59,66.75,mothbeans
12,54,20,28.62,64.21,4.45,69.98,mothbeans
31,50,17,28.58,49.65,5.73,70.63,mothbeans
17,52,17,31.45,54.07,4.98,73.52,mothbeans
13,51,16,24.84,40.48,3.51,50.95,mothbeans
12,53,18,25.69,55.15,8.06,55.48,mothbeans
33,41,15,28.82,64.52,8.57,65.09,mothbeans
29,58,19,31.35,43.45,7.02,73.86,mothbeans
10,48,17,26.29,56.73,4.97,41.66,mothbeans
39,51,22,29.09,58.65,8.44,53.28,mothbeans
38,48,23,28.41,57.43,6.6,72.52,mothbeans
13,38,16,25.44,58.92,5.29,41.74,mothbeans
21,47,20,28.94,58.48,5.9,49.55,mothbeans
38,42,16,25.12,61.12,8.39,74.94,mothbeans
37,35,24,25.25,43.87,6.22,50.18,mothbeans
19,42,21,25.0,41.1,7.95,59.84,mothbeans
32,53,25,26.79,55.77,8.3,67.89,mothbeans
24,59,19,25.38,55.21,3.83,56.46,mothbeans
28,38,23,24.38,52.3,6.83,70.37,mothbeans
39,37,15,25.84,45.25,8.49,70.73,mothbeans
20,56,17,26.09,63.52,8.04,46.23,mothbeans
13,47,22,24.22,55.34,8.43,71.4,mothbeans
10,53,17,25.51,41.87,3.94,72.0,mothbeans
25,52,25,31.62,42.66,4.43,58.65,mothbeans
23,45,23,28.26,56.91,8.03,68.13,mothbeans
28,41,20,28.39,41.22,4.41,55.01,mothbeans
14,38,22,26.03,57.71,7.0,52.69,mothbeans
26,52,15,24.58,60.8,4.44,50.06,mothbeans
37,53,22,29.24,53.1,4.16,73.53,mothbeans
14,48,20,28.77,57.47,7.41,66.57,mothbeans
11,46,19,31.74,40.9,9.84,55.02,mothbeans
34,53,16,24.69,41.31,6.92,46.25,mothbeans
13,52,20,30.77,59.82,4.36,34.25,mothbeans
18,42,23,25.68,43.01,4.53,69.81,mothbeans
24,38,21,34.46,82.8,6.26,48.97,mungbean
15,43,22,34.26,86.64,6.56,58.74,mungbean
34,42,25,31.04,88.48,6.28,32.19,mungbean
38,39,17,28.69,83.53,6.72,39.75,mungbean
29,37,21,27.4,85.02,6.89,32.17,mungbean
33,56,16,30.22,87.46,7.02,32.94,mungbean
11,43,18,33.97,88.73,6.78,32.78,mungbean
37,51,22,33.31,87.2,6.93,55.28,mungbean
10,37,22,30.34,84.89,7.19,57.97,mungbean
21,59,23,34.17,80.78,6.46,49.34,mungbean
27,48,21,30.62,85.49,7.19,57.13,mungbean
38,37,19,29.22,89.92,7.13,38.98,mungbean
20,47,20,27.98,87.5,6.84,44.82,mungbean
22,57,20,30.16,80.74,6.38,54.92,mungbean
14,43,17,32.52,89.72,7.08,50.85,mungbean
18,58,16,32.47,83.16,6.27,35.76,mungbean
40,60,19,35.29,84.31,6.71,45.58,mungbean
29,45,20,27.05,82.68,7.03,45.36,mungbean
19,53,21,28.32,82.75,6.34,46.5,mungbean
17,43,22,33.73,85.46,6.97,35.4,mungbean
38,50,20,28.49,85.21,7.16,32.36,mungbean
16,39,19,29.4,89.46,7.16,41.53,mungbean
40,54,21,27.51,82.2,7.16,43.54,mungbean
20,39,19,27.09,88.37,6.53,35.4,mungbean
14,47,17,28.99,89.24,6.33,55.47,mungbean
33,41,17,31.63,81.89,6.84,58.57,mungbean
23,43,15,35.62,82.73,6.86,53.82,mungbean
36,50,19,33.78,82.39,7.15,31.13,mungbean
33,48,25,27.69,83.04,6.41,37.48,mungbean
24,53,17,35.49,83.14,6.69,33.7,mungbean
22,60,18,34.97,84.4,7.19,58.51,mungbean
17,50,20,28.28,82.9,7.03,30.44,mungbean
28,49,15,34.56,84.25,7.16,32.45,mungbean
22,43,23,35.36,88.94,7.17,54.29,mungbean
29,40,20,29.23,81.82,6.74,36.33,mungbean
38,42,25,33.42,88.09,6.84,43.01,mungbean
12,38,18,32.79,82.72,6.6,56.42,mungbean
25,42,15,29.49,89.35,6.8,46.56,mungbean
36,40,22,30.82,81.74,6.44,42.26,mungbean
28,54,24,35.82,81.58,6.79,44.81,mungbean
11,40,19,35.98,81.19,6.21,58.22,mungbean
22,56,21,29.47,86.52,6.44,58.61,mungbean
25,47,22,34.03,84.28,6.93,55.21,mungbean
22,49,21,31.61,87.46,6.79,48.27,mungbean
35,59,18,35.49,84.89,6.69,33.98,mungbean
12,51,20,30.81,80.41,6.3,52.18,mungbean
22,54,17,32.68,85.9,6.61,53.22,mungbean
27,36,17,32.19,82.18,6.47,38.98,mungbean
14,46,19,30.8,86.15,6.7,38.07,mungbean
22,60,25,27.17,88.36,6.97,42.03,mungbean
35,39,17,27.19,80.28,6.47,57.84,mungbean
28,40,19,30.94,85.23,6.91,59.65,mungbean
39,40,16,34.88,87.84,6.55,34.99,mungbean
29,45,22,34.19,85.2,7.18,48.14,mungbean
24,37,24,28.6,86.26,6.61,31.69,mungbean
21,38,23,33.35,82.41,7.17,30.24,mungbean
24,37,19,27.9,82.18,6.95,58.46,mungbean
33,35,20,31.5,88.49,6.41,45.72,mungbean
17,54,24,34.25,84.81,6.96,47.15,mungbean
15,51,16,28.01,83.6,6.96,46.37,mungbean
40,50,15,30.39,81.52,6.24,38.58,mungbean
27,54,19,34.35,85.08,6.84,43.5,mungbean
35,45,17,32.97,85.86,6.68,33.77,mungbean
28,55,15,34.38,83.34,6.95,45.12,mungbean
27,40,15,31.21,89.29,6.98,47.25,mungbean
37,54,25,31.3,87.69,6.31,43.7,mungbean
16,38,22,31.07,81.63,6.22,41.5,mungbean
25,48,21,31.24,83.83,7.16,34.6,mungbean
40,35,25,29.32,86.43,6.89,32.41,mungbean
34,41,21,35.86,85.98,7.13,39.22,mungbean
21,45,22,27.04,89.73,6.78,52.12,mungbean
15,43,16,27.78,88.98,7.17,50.97,mungbean
32,37,24,32.3,88.91,7.11,35.79,mungbean
33,44,15,28.05,85.49,6.27,35.07,mungbean
18,41,23,29.6,86.74,6.47,39.36,mungbean
34,52,15,30.5,82.74,6.64,53.88,mungbean
37,44,19,28.23,87.08,7.14,41.57,mungbean
34,56,17,27.36,83.5,6.99,43.79,mungbean
18,43,19,32.4,86.36,6.89,41.07,mungbean
20,54,23,35.42,83.59,6.6,57.67,mungbean
34,38,15,31.28,87.09,6.75,53.96,mungbean
24,49,22,30.72,81.19,6.23,37.36,mungbean
25,50,18,35.57,84.43,7.08,30.6,mungbean
12,60,24,34.49,88.78,6.26,40.77,mungbean
39,52,20,35.66,85.78,6.66,59.51,mungbean
11,35,23,28.11,83.08,7.07,49.81,mungbean
17,35,23,33.53,84.1,6.88,47.49,mungbean
26,53,20,33.35,85.18,6.29,36.23,mungbean
30,41,22,31.81,87.69,6.79,30.44,mungbean
17,58,20,33.63,86.48,6.44,40.67,mungbean
24,48,16,29.69,84.3,6.66,50.13,mungbean
17,54,20,34.18,84.19,6.47,31.67,mungbean
25,51,20,33.49,82.55,6.76,37.21,mungbean
19,57,25,32.78,81.81,6.77,57.89,mungbean
27,58,17,32.11,82.77,6.61,41.94,mungbean
30,49,18,35.66,87.83,6.73,52.73,mungbean
36,58,21,29.73,82.56,6.51,58.34,mungbean
40,60,20,32.62,88.91,6.77,39.34,mungbean
38,44,15,27.34,82.12,6.27,40.77,mungbean
30,53,16,30.14,84.21,6.71,45.97,mungbean
25,60,25,28.02,64.38,6.74,65.7,blackgram
36,64,25,25.67,63.34,7.43,66.05,blackgram
40,56,16,34.11,60.13,7.0,65.35,blackgram
60,64,22,29.23,67.99,7.17,65.85,blackgram
60,57,20,31.59,66.75,6.75,63.48,blackgram
26,62,17,33.53,65.39,7.23,61.83,blackgram
53,58,19,31.93,65.94,7.03,62.03,blackgram
47,71,25,25.98,65.55,7.38,71.69,blackgram
44,69,17,31.24,68.86,6.74,74.97,blackgram
30,57,20,25.43,63.06,7.4,62.32,blackgram
54,58,19,32.68,64.33,7.44,61.43,blackgram
41,70,22,25.86,69.68,7.48,61.34,blackgram
22,71,20,27.91,66.6,6.86,73.78,blackgram
52,65,21,30.21,62.41,7.4,60.43,blackgram
38,75,19,28.02,66.83,7.27,65.39,blackgram
29,70,23,30.9,65.69,6.86,68.8,blackgram
38,64,18,34.01,67.45,7.4,74.23,blackgram
39,61,19,30.69,62.51,7.19,64.19,blackgram
25,74,17,27.42,67.53,7.09,73.41,blackgram
31,66,23,28.3,61.05,7.27,66.04,blackgram
59,68,21,34.89,60.71,6.93,62.51,blackgram
34,57,18,25.5,61.68,7.39,69.69,blackgram
28,62,20,27.2,67.74,7.39,60.49,blackgram
21,75,22,28.95,64.82,7.29,66.37,blackgram
42,59,16,30.85,62.67,7.49,73.64,blackgram
51,60,23,28.39,63.3,6.74,66.43,blackgram
43,74,22,31.29,65.21,6.63,65.82,blackgram
39,71,20,28.18,68.37,6.57,72.93,blackgram
52,56,24,31.27,66.62,6.6,61.85,blackgram
58,67,17,28.98,61.01,7.25,63.25,blackgram
38,74,18,29.3,65.61,7.12,63.22,blackgram
37,65,18,30.33,64.84,7.15,74.49,blackgram
59,61,16,30.89,62.22,7.06,64.78,blackgram
25,73,16,27.68,62.99,6.6,67.01,blackgram
37,68,20,31.67,69.24,7.36,74.51,blackgram
25,73,15,27.66,60.2,7.25,64.47,blackgram
49,68,21,29.19,66.23,7.45,66.82,blackgram
32,56,19,26.42,68.69,7.2,63.46,blackgram
53,61,24,26.44,67.74,7.36,67.24,blackgram
55,74,16,34.84,64.9,6.78,70.68,blackgram
23,65,25,34.81,65.08,6.84,70.59,blackgram
44,67,18,25.61,61.61,7.43,68.69,blackgram
32,58,24,33.74,62.29,6.77,74.92,blackgram
54,77,19,26.8,63.01,6.6,71.46,blackgram
51,58,21,28.16,64.84,6.8,68.76,blackgram
24,59,15,30.05,63.52,6.97,62.88,blackgram
53,70,19,25.59,67.87,7.18,73.66,blackgram
32,80,19,32.72,68.7,6.78,72.23,blackgram
20,80,16,33.98,64.21,6.78,73.8,blackgram
58,72,18,33.75,60.61,7.19,68.48,blackgram
57,78,19,28.54,67.73,7.18,63.38,blackgram
26,70,22,26.64,62.15,7.18,70.35,blackgram
27,71,16,34.9,60.33,7.1,68.66,blackgram
59,75,24,27.08,69.05,6.92,67.75,blackgram
52,59,16,34.1,60.12,6.72,60.29,blackgram
45,62,22,32.99,60.41,7.31,61.88,blackgram
43,70,25,27.2,65.53,7.12,72.85,blackgram
24,79,16,31.53,62.46,7.26,67.26,blackgram
50,60,17,26.32,64.92,7.34,73.31,blackgram
21,70,21,28.66,65.48,7.5,63.52,blackgram
43,60,23,28.35,68.49,7.45,66.32,blackgram
51,72,18,31.97,64.98,6.52,63.57,blackgram
23,63,21,30.24,62.85,7.41,67.17,blackgram
23,63,19,26.71,68.76,6.57,65.99,blackgram
36,56,15,27.19,62.91,6.9,68.73,blackgram
39,56,18,27.86,60.38,6.86,65.34,blackgram
49,66,22,29.68,64.81,7.03,69.47,blackgram
25,56,15,28.26,69.31,7.14,68.17,blackgram
60,56,25,29.36,64.59,7.4,67.89,blackgram
34,74,19,34.85,60.36,7.09,67.29,blackgram
21,58,25,26.53,60.98,6.72,66.15,blackgram
49,65,25,31.6,63.54,6.78,63.43,blackgram
24,70,24,29.47,62.43,6.52,66.34,blackgram
34,74,22,32.19,66.76,7.06,68.4,blackgram
47,63,25,27.85,61.07,6.65,69.98,blackgram
37,63,17,30.01,69.24,6.84,62.37,blackgram
23,55,21,33.75,60.41,7.43,70.45,blackgram
20,67,21,34.53,69.26,6.76,63.06,blackgram
60,76,17,28.6,66.15,6.69,61.54,blackgram
29,64,19,27.62,60.78,7.16,68.8,blackgram
40,57,15,27.05,63.31,7.28,72.16,blackgram
52,67,16,34.0,69.59,7.02,61.24,blackgram
51,59,21,25.69,65.49,6.74,69.34,blackgram
37,65,16,33.76,64.69,7.45,74.53,blackgram
58,61,22,32.91,68.26,6.89,71.88,blackgram
34,73,18,31.57,66.17,6.99,68.71,blackgram
45,65,15,31.77,69.78,7.02,61.91,blackgram
53,72,16,27.99,66.55,7.28,65.93,blackgram
59,68,23,32.42,69.77,6.71,62.05,blackgram
50,64,21,32.06,67.42,7.4,70.91,blackgram
49,62,20,29.2,69.0,7.33,65.46,blackgram
40,72,23,26.73,62.38,6.78,74.1,blackgram
27,74,23,26.95,66.73,6.59,69.32,blackgram
35,70,21,34.29,67.38,7.43,68.78,blackgram
51,67,19,33.44,68.62,7.37,61.34,blackgram
45,80,17,29.71,68.92,6.93,66.08,blackgram
21,62,21,32.09,68.09,6.57,61.83,blackgram
52,55,24,30.04,61.42,7.36,66.91,blackgram
30,67,19,28.25,69.91,7.13,73.22,blackgram
26,56,19,28.23,68.76,6.99,70.93,blackgram
16,79,20,27.24,68.39,6.78,52.26,lentil
34,58,16,16.81,60.46,5.98,53.48,lentil
14,66,20,24.63,65.58,6.84,38.76,lentil
27,66,17,26.19,69.66,6.14,54.48,lentil
13,59,18,25.25,68.27,6.58,54.63,lentil
29,70,25,19.01,67.16,6.75,39.57,lentil
22,77,18,25.75,68.66,6.76,38.02,lentil
15,66,25,28.61,65.41,6.85,39.88,lentil
25,65,19,16.63,60.11,6.33,48.26,lentil
37,73,21,23.98,69.74,6.31,39.95,lentil
28,64,21,17.73,61.06,6.76,47.39,lentil
23,76,25,21.91,61.16,6.57,46.13,lentil
15,71,21,27.63,67.3,6.07,49.19,lentil
10,75,24,19.2,67.62,5.91,40.1,lentil
10,73,20,26.94,69.36,6.05,46.47,lentil
27,70,15,18.98,60.39,6.54,38.72,lentil
24,65,20,25.08,61.19,6.08,35.82,lentil
31,65,15,29.79,63.48,6.08,54.83,lentil
32,80,25,22.9,67.13,6.05,43.8,lentil
12,60,17,25.73,69.33,6.5,36.32,lentil
22,75,17,17.75,66.13,6.64,49.16,lentil
32,61,18,16.4,61.99,6.67,49.96,lentil
17,68,21,20.7,66.93,6.19,42.19,lentil
10,65,19,29.33,67.62,6.37,54.44,lentil
37,64,22,22.78,65.7,6.08,41.65,lentil
32,75,19,29.38,63.21,6.38,47.99,lentil
34,69,21,28.53,67.78,5.93,46.2,lentil
22,70,21,23.47,64.96,6.86,53.97,lentil
26,56,21,19.05,60.25,6.42,42.99,lentil
25,65,23,21.35,61.1,6.64,35.72,lentil
32,62,15,16.15,60.8,6.39,54.61,lentil
17,77,24,22.29,63.72,6.62,50.37,lentil
38,72,24,24.59,65.32,6.7,36.33,lentil
23,60,18,26.18,66.49,6.78,53.59,lentil
40,65,19,22.51,69.18,6.83,49.61,lentil
12,61,23,24.46,66.24,6.74,52.03,lentil
35,72,17,22.26,68.76,6.65,42.15,lentil
13,64,15,23.52,63.65,6.64,51.18,lentil
39,55,24,23.54,64.04,6.09,40.93,lentil
19,77,24,21.0,68.54,6.75,38.89,lentil
31,67,15,20.69,61.63,6.82,47.38,lentil
25,74,15,17.43,64.45,6.35,50.51,lentil
13,79,17,26.34,66.18,6.21,46.9,lentil
20,55,24,23.65,60.85,5.99,36.32,lentil
26,61,16,21.49,65.61,6.3,38.14,lentil
26,74,15,19.34,61.92,6.32,49.78,lentil
28,56,20,25.18,68.26,6.16,48.19,lentil
31,69,21,28.47,67.32,6.76,41.59,lentil
26,70,22,28.01,67.09,6.49,49.31,lentil
13,75,23,28.14,65.47,6.35,43.58,lentil
31,72,20,28.87,67.1,6.09,44.95,lentil
13,67,25,20.76,67.47,6.65,43.49,lentil
39,61,16,20.08,67.24,6.33,43.01,lentil
20,69,22,20.99,62.82,6.64,39.24,lentil
22,61,23,26.26,62.39,5.9,39.78,lentil
40,60,25,20.04,63.99,6.77,46.37,lentil
13,79,16,25.36,62.1,6.01,47.75,lentil
21,64,25,25.77,64.16,6.64,38.66,lentil
33,80,20,17.84,62.35,6.18,51.97,lentil
31,64,15,19.24,66.03,6.48,44.03,lentil
11,55,25,28.26,63.36,6.77,41.58,lentil
35,65,17,17.09,66.47,6.77,53.89,lentil
34,74,18,23.07,69.21,6.47,47.25,lentil
27,69,16,22.49,69.81,6.53,37.31,lentil
24,58,18,23.12,68.91,6.48,53.49,lentil
18,64,22,16.23,66.73,5.92,42.81,lentil
34,75,25,16.33,65.89,6.19,52.37,lentil
22,55,23,19.84,65.48,6.27,44.34,lentil
11,55,15,17.75,62.31,6.4,37.79,lentil
13,57,15,18.64,65.47,5.95,45.12,lentil
39,58,22,24.44,64.3,6.63,38.89,lentil
20,57,15,23.09,68.19,6.11,36.82,lentil
19,69,24,22.65,66.68,6.29,46.89,lentil
36,78,16,22.76,67.51,6.46,45.21,lentil
31,78,23,27.44,62.45,6.05,54.3,lentil
30,65,18,18.34,65.23,6.89,36.46,lentil
18,72,16,16.07,63.89,6.1,38.68,lentil
24,73,21,24.38,60.02,6.7,41.27,lentil
14,67,17,22.24,61.97,6.24,39.64,lentil
33,55,18,19.06,62.56,6.44,41.97,lentil
35,58,23,24.31,63.61,6.3,40.66,lentil
40,70,16,21.65,65.2,5.98,54.12,lentil
30,56,25,21.08,62.71,6.52,43.34,lentil
17,74,22,22.91,65.64,6.14,53.36,lentil
19,62,18,24.1,69.3,6.83,41.16,lentil
20,64,18,27.43,66.0,6.06,53.94,lentil
34,76,22,20.42,61.81,6.7,37.24,lentil
13,80,22,27.56,66.81,5.98,41.96,lentil
29,71,23,23.27,69.15,6.02,41.73,lentil
17,71,25,16.06,63.17,6.35,50.9,lentil
13,68,23,18.07,64.6,6.26,39.96,lentil
37,80,17,19.94,61.78,6.34,54.18,lentil
38,76,17,17.39,60.65,6.57,45.5,lentil
37,66,16,23.21,61.58,6.65,38.58,lentil
28,57,24,21.44,66.21,6.35,43.97,lentil
24,75,19,27.28,62.05,6.86,50.12,lentil
27,63,22,19.76,65.27,6.66,47.39,lentil
14,59,24,17.28,64.35,6.84,37.75,lentil
40,66,16,16.23,61.22,6.24,46.33,lentil
15,79,24,29.82,64.85,6.74,39.38,lentil
28,22,37,23.88,91.59,7.12,108.55,pomegranate
5,17,35,22.76,87.66,6.77,102.95,pomegranate
28,14,42,23.72,91.77,6.43,106.36,pomegranate
38,17,45,22.75,89.38,6.72,109.85,pomegranate
26,30,36,22.87,88.17,6.55,105.81,pomegranate
12,17,35,18.86,93.11,6.67,101.24,pomegranate
22,10,35,21.58,90.79,7.23,108.61,pomegranate
33,27,40,24.01,88.91,6.36,107.48,pomegranate
28,8,41,20.33,94.03,7.23,104.91,pomegranate
33,22,41,19.45,90.56,6.37,108.48,pomegranate
22,5,43,24.56,85.79,6.05,109.15,pomegranate
38,13,41,21.35,85.04,6.39,109.57,pomegranate
26,15,42,22.99,92.45,7.47,106.84,pomegranate
40,25,40,22.3,88.58,6.62,101.58,pomegranate
20,30,37,22.48,87.03,5.83,104.08,pomegranate
18,12,35,21.59,92.26,6.78,101.86,pomegranate
15,26,35,23.92,87.91,5.87,107.59,pomegranate
21,11,44,21.66,93.66,7.15,100.67,pomegranate
10,24,45,21.37,88.89,5.74,104.97,pomegranate
24,14,40,18.09,92.13,6.43,105.86,pomegranate
28,28,42,20.58,90.6,6.49,109.44,pomegranate
34,27,37,20.96,93.62,7.12,103.92,pomegranate
17,28,41,19.68,93.16,5.97,100.06,pomegranate
19,9,36,23.79,92.66,6.59,108.83,pomegranate
36,19,36,23.31,88.41,6.92,103.85,pomegranate
39,18,40,18.53,85.26,6.24,108.3,pomegranate
28,29,43,21.21,87.19,5.52,103.9,pomegranate
18,29,40,21.27,87.3,7.24,108.47,pomegranate
8,11,35,23.65,87.62,7.11,108.81,pomegranate
7,25,37,23.2,93.27,6.14,104.14,pomegranate
5,27,36,19.14,93.02,6.93,101.3,pomegranate
37,16,37,23.32,86.95,5.9,103.21,pomegranate
22,17,39,18.48,85.85,5.52,106.25,pomegranate
8,18,38,22.81,86.79,6.31,103.85,pomegranate
5,21,42,23.59,90.53,5.55,105.07,pomegranate
10,14,42,24.02,87.51,5.58,101.81,pomegranate
27,7,44,20.73,88.17,5.9,102.94,pomegranate
35,26,37,18.3,90.04,7.12,103.33,pomegranate
25,6,44,23.38,87.15,7.43,106.77,pomegranate
38,7,42,23.69,88.44,5.76,106.91,pomegranate
26,26,40,21.45,93.97,7.45,106.59,pomegranate
7,13,35,24.78,86.14,6.09,102.34,pomegranate
3,10,40,19.46,90.99,5.67,101.46,pomegranate
31,14,44,20.8,89.7,6.73,108.02,pomegranate
16,22,41,23.62,85.09,6.12,108.87,pomegranate
8,28,45,24.56,89.77,7.2,100.65,pomegranate
25,15,36,22.36,88.12,6.14,107.87,pomegranate
18,28,45,20.98,91.01,6.3,105.82,pomegranate
32,5,39,19.59,90.54,6.9,108.83,pomegranate
40,23,45,19.97,93.3,6.68,102.43,pomegranate
3,26,35,22.1,86.42,7.27,109.27,pomegranate
31,23,35,21.13,89.76,5.8,101.21,pomegranate
13,16,42,20.88,85.23,6.62,104.55,pomegranate
6,12,40,22.66,88.41,6.67,107.27,pomegranate
9,21,40,22.37,85.98,5.95,102.24,pomegranate
15,20,36,19.88,90.78,5.64,107.03,pomegranate
36,22,39,18.61,90.23,6.98,103.63,pomegranate
37,21,43,22.61,90.58,6.21,108.06,pomegranate
5,9,35,18.84,92.09,5.65,103.66,pomegranate
3,26,45,22.41,85.39,6.17,105.73,pomegranate
30,25,35,19.75,92.6,5.66,100.89,pomegranate
29,6,38,18.23,90.5,7.4,108.82,pomegranate
17,7,41,18.79,87.56,7.18,103.63,pomegranate
29,11,45,22.0,86.23,5.82,108.26,pomegranate
18,18,44,23.19,94.45,6.56,100.49,pomegranate
29,23,35,19.19,93.26,5.92,102.88,pomegranate
31,26,38,24.3,87.04,7.12,102.93,pomegranate
12,7,39,20.05,92.92,6.18,104.35,pomegranate
10,11,39,20.7,91.1,6.93,109.79,pomegranate
8,26,39,24.68,87.33,5.55,106.46,pomegranate
21,23,37,21.45,89.68,5.56,103.05,pomegranate
25,14,44,22.2,94.35,6.28,101.62,pomegranate
27,24,44,22.09,85.78,5.91,102.27,pomegranate
29,13,42,18.16,87.45,6.69,108.23,pomegranate
12,26,35,19.52,92.36,5.67,106.6,pomegranate
16,11,38,18.38,93.33,6.74,106.16,pomegranate
18,29,36,21.05,90.99,5.65,102.75,pomegranate
33,26,40,23.68,88.71,5.57,100.55,pomegranate
14,13,44,21.92,92.15,7.43,109.21,pomegranate
38,30,39,23.46,89.06,5.85,108.44,pomegranate
13,23,38,24.49,89.87,5.66,107.5,pomegranate
7,19,37,18.81,93.97,7.17,107.78,pomegranate
25,7,38,21.45,89.35,6.81,102.46,pomegranate
14,8,39,23.73,92.34,7.47,108.45,pomegranate
31,21,43,18.98,93.34,6.77,109.63,pomegranate
22,7,39,19.2,85.86,6.54,100.75,pomegranate
17,27,41,22.83,94.68,5.62,107.09,pomegranate
38,25,42,18.26,86.15,6.82,102.33,pomegranate
4,21,42,21.35,85.35,7.23,109.4,pomegranate
34,6,35,20.85,91.92,5.62,109.59,pomegranate
27,21,41,21.02,86.82,6.86,109.31,pomegranate
12,20,41,21.73,91.77,6.41,109.14,pomegranate
37,28,37,24.04,91.87,6.66,100.02,pomegranate
38,26,37,23.44,94.43,6.4,100.3,pomegranate
25,8,37,18.42,88.47,5.51,100.11,pomegranate
38,12,37,24.81,89.85,5.74,104.65,pomegranate
9,18,37,20.32,89.32,6.82,107.08,pomegranate
32,26,42,23.09,87.77,5.61,108.02,pomegranate
10,10,44,18.15,92.22,6.01,109.44,pomegranate
12,29,44,18.04,94.95,6.66,105.25,pomegranate
84,79,54,26.38,82.44,5.92,113.55,banana
119,87,54,25.18,76.46,6.05,94.31,banana
112,80,55,26.57,75.69,5.5,105.02,banana
80,89,54,28.06,78.44,6.06,101.32,banana
82,81,45,29.34,75.33,6.27,113.22,banana
96,75,45,28.03,82.62,6.38,98.92,banana
92,92,45,26.55,76.24,6.44,112.7,banana
106,85,50,29.05,81.15,5.91,102.81,banana
86,95,51,27.8,80.15,5.95,114.47,banana
112,93,49,27.86,84.91,5.73,102.24,banana
83,88,50,29.91,77.22,6.27,94.29,banana
95,95,49,28.65,75.8,5.53,102.97,banana
120,79,52,27.74,76.34,5.74,94.12,banana
90,86,53,27.51,83.18,6.29,93.49,banana
111,90,52,28.25,81.71,6.25,110.75,banana
115,95,47,28.79,82.07,5.75,101.83,banana
82,81,47,26.38,78.98,6.39,102.78,banana
119,94,45,26.7,77.87,5.73,101.5,banana
101,93,55,28.65,79.95,6.47,92.79,banana
89,88,55,25.24,79.98,6.04,90.6,banana
98,79,50,26.5,81.8,5.56,103.78,banana
111,75,53,28.76,78.89,6.48,101.67,banana
97,83,50,26.86,81.51,5.62,107.84,banana
100,91,54,25.61,78.23,6.29,103.13,banana
86,81,49,25.99,83.88,5.68,105.45,banana
104,79,50,28.74,81.34,6.36,113.26,banana
120,86,50,26.78,76.6,6.1,113.76,banana
90,82,50,29.66,80.89,5.52,90.34,banana
